Speaker,Word,Frequency,Debate
KASICH,right,2,12_republican_debate.txt
KASICH,wee,1,12_republican_debate.txt
KASICH,coal,1,12_republican_debate.txt
KASICH,believe,12,12_republican_debate.txt
KASICH,reasserted,1,12_republican_debate.txt
KASICH,mayor,1,12_republican_debate.txt
KASICH,accomplishments,1,12_republican_debate.txt
KASICH,addition,1,12_republican_debate.txt
KASICH,mentoring,1,12_republican_debate.txt
KASICH,wind,1,12_republican_debate.txt
KASICH,meet,1,12_republican_debate.txt
KASICH,two,3,12_republican_debate.txt
KASICH,doors,1,12_republican_debate.txt
KASICH,row,1,12_republican_debate.txt
KASICH,worry,1,12_republican_debate.txt
KASICH,republicans,1,12_republican_debate.txt
KASICH,last,1,12_republican_debate.txt
KASICH,paid,1,12_republican_debate.txt
KASICH,ways,1,12_republican_debate.txt
KASICH,influence,3,12_republican_debate.txt
KASICH,bipartisan,2,12_republican_debate.txt
KASICH,veterans,4,12_republican_debate.txt
KASICH,rid,1,12_republican_debate.txt
KASICH,administration,3,12_republican_debate.txt
KASICH,passion,1,12_republican_debate.txt
KASICH,vocational,1,12_republican_debate.txt
KASICH,people,17,12_republican_debate.txt
KASICH,level,1,12_republican_debate.txt
KASICH,support,2,12_republican_debate.txt
KASICH,control,2,12_republican_debate.txt
KASICH,whole,1,12_republican_debate.txt
KASICH,returning,1,12_republican_debate.txt
KASICH,side,1,12_republican_debate.txt
KASICH,deal,2,12_republican_debate.txt
KASICH,brotherhood,1,12_republican_debate.txt
KASICH,familiar,1,12_republican_debate.txt
KASICH,weapons,1,12_republican_debate.txt
KASICH,bell,2,12_republican_debate.txt
KASICH,uptight,1,12_republican_debate.txt
KASICH,job,5,12_republican_debate.txt
KASICH,streets,1,12_republican_debate.txt
KASICH,bureaucrat,1,12_republican_debate.txt
KASICH,tell,9,12_republican_debate.txt
KASICH,connect,1,12_republican_debate.txt
KASICH,operations,1,12_republican_debate.txt
KASICH,another,2,12_republican_debate.txt
KASICH,wherever,1,12_republican_debate.txt
KASICH,healed,1,12_republican_debate.txt
KASICH,raising,1,12_republican_debate.txt
KASICH,south,3,12_republican_debate.txt
KASICH,shooting,1,12_republican_debate.txt
KASICH,buckets,1,12_republican_debate.txt
KASICH,delegates,3,12_republican_debate.txt
KASICH,federal,2,12_republican_debate.txt
KASICH,whistle,2,12_republican_debate.txt
KASICH,solution,1,12_republican_debate.txt
KASICH,foreign,2,12_republican_debate.txt
KASICH,god,1,12_republican_debate.txt
KASICH,ok,1,12_republican_debate.txt
KASICH,spirit,2,12_republican_debate.txt
KASICH,think,6,12_republican_debate.txt
KASICH,collar,2,12_republican_debate.txt
KASICH,let,11,12_republican_debate.txt
KASICH,back,8,12_republican_debate.txt
KASICH,imagine,1,12_republican_debate.txt
KASICH,nervous,1,12_republican_debate.txt
KASICH,build,1,12_republican_debate.txt
KASICH,seen,1,12_republican_debate.txt
KASICH,inconsistent,1,12_republican_debate.txt
KASICH,ford,2,12_republican_debate.txt
KASICH,time,5,12_republican_debate.txt
KASICH,jake,5,12_republican_debate.txt
KASICH,million,1,12_republican_debate.txt
KASICH,politics,3,12_republican_debate.txt
KASICH,since,1,12_republican_debate.txt
KASICH,ago,1,12_republican_debate.txt
KASICH,unfortunately,1,12_republican_debate.txt
KASICH,number,4,12_republican_debate.txt
KASICH,curriculum,1,12_republican_debate.txt
KASICH,grid,1,12_republican_debate.txt
KASICH,jobs,8,12_republican_debate.txt
KASICH,treat,1,12_republican_debate.txt
